Plus,693
X,693
Box,940
SmallBox,840
Shape,Noise,Result,Correct
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.0,Plus,1
X,0.0,X,1
Box,0.0,Box,1
SmallBox,0.0,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,SmallBox,0
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,SmallBox,0
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,SmallBox,0
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,SmallBox,0
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,SmallBox,0
X,0.05,SmallBox,0
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,SmallBox,0
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.05,Plus,1
X,0.05,X,1
Box,0.05,Box,1
SmallBox,0.05,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,SmallBox,0
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,SmallBox,0
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,SmallBox,0
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,SmallBox,0
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
Plus,0.1,Plus,1
X,0.1,X,1
Box,0.1,Box,1
SmallBox,0.1,SmallBox,1
